link_name;link_index;src_node_name;src_node_index;dst_name;dst_node_index;bandwidth_mbps;latency_us;is_fatpipe
etp_link0;1;etpgateway;6;WMSHost;4;10;1000;0
etp_link1;2;etpgateway;6;sg01;1;10;1000;0
etp_link2;3;etpgateway;6;sg02;2;20;2000;0
etp_link3;4;etpgateway;6;sg03;3;20;2000;0
etp_to_remote;5;etpgateway;6;RemoteStorage;5;100;5000;0
