link_name;link_index;src_node_name;src_node_index;dst_name;dst_node_index;bandwidth_mbps;latency_us;is_fatpipe
GridKA_sched;1;GridKAgateway;15;WMSHost;14;195;0;0
GridKA_Tier1_FATPIPE;2;GridKAgateway;15;Tier1;1;2000;0;1
GridKA_Tier1;3;GridKAgateway;15;Tier1;1;4600;0;0
GridKA_dcachepool_FATPIPE;4;GridKAgateway;15;GridKA_dCache;13;800;0;1
GridKA_dcachepool;5;GridKAgateway;15;GridKA_dCache;13;1500;0;0
GridKA_to_KIT;6;GridKAgateway;15;KITgateway;16;2000;0;0
KIT_to_DESY;7;KITgateway;16;DESYgateway;19;230;0;0
DESY_Tier2;8;DESYGridgateway;18;Tier2;12;1000;0;0
DESY_dCachepool;9;DESYGridgateway;18;DESY_dCache;17;900;0;0
DESYGrid_to_DESY;10;DESYGridgateway;18;DESYgateway;19;1900;0;0
